wavelengths,reflectance
381.00558,0.039149657
388.4092,0.042635743
395.81583,0.04746238
403.2254,0.053195186
410.638,0.058316745
418.0536,0.063293286
425.47214,0.065207705
432.8927,0.0665704
440.31726,0.06751813
447.7428,0.06788077
455.17035,0.07035242
462.59888,0.07099864
470.0304,0.07175057
477.46292,0.071604684
484.89743,0.07410066
492.33292,0.0739528
499.77142,0.07559268
507.2099,0.07806439
514.6504,0.079770274
522.0909,0.08283872
529.5333,0.08474352
536.9768,0.08713576
544.42126,0.089201584
551.8667,0.09061576
559.3142,0.09303585
566.7616,0.09242097
574.20905,0.092187524
581.6585,0.09333958
589.108,0.09456787
596.55835,0.0957351
604.0098,0.09647489
611.4622,0.09704442
618.9146,0.0970899
626.36804,0.09737369
633.8215,0.0980315
641.2759,0.09870051
648.7303,0.0994247
656.1857,0.09921721
663.6411,0.099157326
671.09753,0.10009735
678.5539,0.10224308
686.0103,0.10215123
693.4677,0.105091736
700.9251,0.11313231
708.38354,0.12122971
715.84094,0.13158995
723.2993,0.14216915
730.7587,0.15320277
738.2171,0.16349669
745.6765,0.17553172
753.1359,0.17821327
760.5963,0.18033096
768.0557,0.18247776
775.5161,0.18439987
782.97754,0.18589832
790.4379,0.18721898
797.89935,0.18841128
805.36176,0.18942681
812.8232,0.19030838
820.2846,0.1911225
827.746,0.1918923
835.2074,0.1925968
842.66986,0.19326289
850.1313,0.19391406
857.5937,0.19446714
865.0551,0.1949643
872.5176,0.19547284
879.98004,0.19592781
887.44147,0.19637614
894.90393,0.19670624
902.3664,0.19706371
909.82886,0.19740883
917.2913,0.19774145
924.7538,0.19808257
932.21625,0.19832064
939.6788,0.19864121
947.14026,0.19911975
954.6027,0.19959736
962.0643,0.20009783
969.5268,0.20067044
976.9883,0.20127155
984.4498,0.20169401
991.9114,0.20224223
999.37286,0.20291671
1006.8344,0.2035994
1014.295,0.20432451
1021.7566,0.20494664
1029.2172,0.20561126
1036.6777,0.20616911
1044.1383,0.20662512
1051.5989,0.20706269
1059.0596,0.20737945
1066.5201,0.2077356
1073.9797,0.20807227
1081.4404,0.20836015
1088.9,0.20852862
1096.3597,0.20860504
1103.8184,0.2085195
1111.2781,0.20823883
1118.7368,0.2079047
1126.1964,0.20741437
1133.6552,0.20657592
1141.1129,0.20550975
1148.5717,0.20402284
1156.0304,0.2024757
1163.4882,0.20117351
1170.9459,0.20013355
1178.4037,0.19925083
1185.8616,0.19827297
1193.3184,0.19754983
1200.7761,0.19706497
1208.233,0.19677208
1215.6898,0.19667722
1223.1467,0.19691435
1230.6036,0.19739388
1238.0596,0.19782713
1245.5154,0.19817066
1252.9724,0.19836484
1260.4283,0.19849265
1267.8833,0.19855665
1275.3392,0.19857346
1282.7942,0.19869234
1290.2502,0.19880842
1297.7052,0.19879076
1305.1603,0.19853143
1312.6144,0.19800171
1320.0685,0.19717336
1327.5225,-0.01
1334.9756,-0.01
1342.4287,-0.01
1349.8818,-0.01
1357.3351,-0.01
1364.7872,-0.01
1372.2384,-0.01
1379.6907,-0.01
1387.1418,-0.01
1394.5931,-0.01
1402.0433,-0.01
1409.4937,-0.01
1416.944,-0.01
1424.3933,-0.01
1431.8427,-0.01
1439.292,0.110073514
1446.7404,0.11343358
1454.1888,0.1398271
1461.6372,0.14818768
1469.0847,0.13865118
1476.5321,0.13696688
1483.9796,0.12882666
1491.4261,0.13265616
1498.8727,0.13508026
1506.3192,0.13793075
1513.7649,0.13946734
1521.2104,0.14289378
1528.655,0.14440286
1536.1007,0.14566351
1543.5454,0.14789262
1550.9891,0.15008882
1558.4329,0.15121831
1565.8766,0.15182233
1573.3193,0.15106355
1580.7621,0.15307091
1588.205,0.15572475
1595.6467,0.15760018
1603.0886,0.1565254
1610.5295,0.15778045
1617.9705,0.16070186
1625.4104,0.162323
1632.8513,0.16323163
1640.2903,0.16329399
1647.7303,0.16306134
1655.1694,0.16257884
1662.6074,0.16300227
1670.0455,0.16175191
1677.4836,0.1625719
1684.9209,0.1617257
1692.358,0.16035435
1699.7952,0.15881947
1707.2314,0.158152
1714.6667,0.15710208
1722.103,0.15517022
1729.5383,0.15492478
1736.9727,0.15490429
1744.4071,0.15545008
1751.8414,0.1561588
1759.2749,0.1576575
1766.7084,0.1568034
1774.1418,-0.01
1781.5743,-0.01
1789.007,-0.01
1796.4385,-0.01
1803.8701,-0.01
1811.3008,-0.01
1818.7314,-0.01
1826.1611,-0.01
1833.591,-0.01
1841.0206,-0.01
1848.4495,-0.01
1855.8773,-0.01
1863.3052,-0.01
1870.733,-0.01
1878.16,-0.01
1885.5869,-0.01
1893.013,-0.01
1900.439,-0.01
1907.864,-0.01
1915.2892,-0.01
1922.7133,-0.01
1930.1375,-0.01
1937.5607,-0.01
1944.9839,-0.01
