wavelengths,reflectance
381.00558,0.8695893
388.4092,0.894772
395.81583,0.9180733
403.2254,0.93518776
410.638,0.9580185
418.0536,0.9812204
425.47214,1.00544
432.8927,1.014309
440.31726,1.0308317
447.7428,1.0414217
455.17035,1.05624
462.59888,1.0685899
470.0304,1.0761728
477.46292,1.077746
484.89743,1.0939621
492.33292,1.0966239
499.77142,1.1014502
507.2099,1.1097918
514.6504,1.1199301
522.0909,1.1216208
529.5333,1.1154014
536.9768,1.1187118
544.42126,1.11959
551.8667,1.1233706
559.3142,1.1266447
566.7616,1.1308577
574.20905,1.1256536
581.6585,1.1296321
589.108,1.1293964
596.55835,1.137202
604.0098,1.1260725
611.4622,1.1331393
618.9146,1.1284556
626.36804,1.1210512
633.8215,1.1190265
641.2759,1.1230413
648.7303,1.1238875
656.1857,1.1228942
663.6411,1.1199213
671.09753,1.1420442
678.5539,1.1276997
686.0103,1.1236315
693.4677,1.1131027
700.9251,1.1218555
708.38354,1.1016517
715.84094,1.0957001
723.2993,1.0907863
730.7587,1.0838938
738.2171,1.0712043
745.6765,1.0441637
753.1359,1.0456669
760.5963,1.0429105
768.0557,1.0339837
775.5161,1.0269213
782.97754,1.018893
790.4379,1.0140278
797.89935,1.0117458
805.36176,1.0108602
812.8232,1.0133805
820.2846,1.013764
827.746,1.0091393
835.2074,1.0003896
842.66986,0.9932983
850.1313,0.98283154
857.5937,0.969037
865.0551,0.9532401
872.5176,0.93728226
879.98004,0.9204221
887.44147,0.9059752
894.90393,0.8941287
902.3664,0.88662696
909.82886,0.88081604
917.2913,0.8747937
924.7538,0.86816424
932.21625,0.85915226
939.6788,0.85500693
947.14026,0.8442242
954.6027,0.83761144
962.0643,0.8313287
969.5268,0.8182195
976.9883,0.8003006
984.4498,0.7807666
991.9114,0.76765937
999.37286,0.7484164
1006.8344,0.7355232
1014.295,0.72401845
1021.7566,0.71655184
1029.2172,0.71726286
1036.6777,0.7182923
1044.1383,0.7244109
1051.5989,0.7361103
1059.0596,0.74888754
1066.5201,0.7612341
1073.9797,0.7706139
1081.4404,0.776205
1088.9,0.77741057
1096.3597,0.7762704
1103.8184,0.7726811
1111.2781,0.769145
1118.7368,0.764432
1126.1964,0.7602692
1133.6552,0.7549478
1141.1129,0.7465978
1148.5717,0.7333237
1156.0304,0.71347606
1163.4882,0.68611544
1170.9459,0.65811706
1178.4037,0.6282199
1185.8616,0.6002142
1193.3184,0.5727868
1200.7761,0.5491475
1208.233,0.5293874
1215.6898,0.5155646
1223.1467,0.50784093
1230.6036,0.5028515
1238.0596,0.49983993
1245.5154,0.4977397
1252.9724,0.49798217
1260.4283,0.4977406
1267.8833,0.5006502
1275.3392,0.5056614
1282.7942,0.5087029
1290.2502,0.5107227
1297.7052,0.5100963
1305.1603,0.50794256
1312.6144,0.5034706
1320.0685,0.49753833
1327.5225,-0.01
1334.9756,-0.01
1342.4287,-0.01
1349.8818,-0.01
1357.3351,-0.01
1364.7872,-0.01
1372.2384,-0.01
1379.6907,-0.01
1387.1418,-0.01
1394.5931,-0.01
1402.0433,-0.01
1409.4937,-0.01
1416.944,-0.01
1424.3933,-0.01
1431.8427,-0.01
1439.292,0.1800927
1446.7404,0.12638897
1454.1888,0.087171525
1461.6372,0.066044174
1469.0847,0.05012474
1476.5321,0.039642844
1483.9796,0.034104016
1491.4261,0.030919667
1498.8727,0.032060906
1506.3192,0.031947203
1513.7649,0.03421779
1521.2104,0.03762905
1528.655,0.03963524
1536.1007,0.043277904
1543.5454,0.04617118
1550.9891,0.050420336
1558.4329,0.05609381
1565.8766,0.060776945
1573.3193,0.066430144
1580.7621,0.07303779
1588.205,0.079990275
1595.6467,0.086533956
1603.0886,0.09120272
1610.5295,0.0960347
1617.9705,0.099980704
1625.4104,0.10325382
1632.8513,0.10769994
1640.2903,0.11094326
1647.7303,0.11598048
1655.1694,0.1203165
1662.6074,0.12663707
1670.0455,0.133255
1677.4836,0.13868259
1684.9209,0.14395165
1692.358,0.15004633
1699.7952,0.15525025
1707.2314,0.16213152
1714.6667,0.16729787
1722.103,0.1734219
1729.5383,0.17605129
1736.9727,0.18186338
1744.4071,0.18483226
1751.8414,0.18644781
1759.2749,0.19059339
1766.7084,0.19365412
1774.1418,-0.01
1781.5743,-0.01
1789.007,-0.01
1796.4385,-0.01
1803.8701,-0.01
1811.3008,-0.01
1818.7314,-0.01
1826.1611,-0.01
1833.591,-0.01
1841.0206,-0.01
1848.4495,-0.01
1855.8773,-0.01
1863.3052,-0.01
1870.733,-0.01
1878.16,-0.01
1885.5869,-0.01
1893.013,-0.01
1900.439,-0.01
1907.864,-0.01
1915.2892,-0.01
1922.7133,-0.01
1930.1375,-0.01
1937.5607,-0.01
1944.9839,-0.01
1952.4071,-0.01
1959.8295,-0.01
1967.2518,0.016007297
1974.6732,0.016194655
1982.0946,0.016425537
1989.515,0.017457671
1996.9355,0.0210779
2004.355,0.02233192
